TNDST,STMT,EDMT,VRTS,STXT
Kanchipuram,April,May,ADT 36,Sandy Clay Loam
Kanchipuram,April,May,IR 36,Clay
Kanchipuram,April,May,IR 50,Clay
Kanchipuram,April,May,ADT 37,Clay Loam
Kanchipuram,April,May,ASD 16,Silty Clay Loam
Kanchipuram,April,May,ASD 17,Clay Loam
Kanchipuram,April,May,IR 64,Sandy Loam
Kanchipuram,April,May,ASD 18,Silty Clay Loam
Kanchipuram,April,May,ADT 42,Sandy Clay Loam
Kanchipuram,April,May,MDU 5,Loamy Sand
Kanchipuram,April,May,ASD 20,Silty Clay Loam
Kanchipuram,April,May,ADT 43,Clay Loam
Kanchipuram,April,May,CO 47,Clay Loam
Kanchipuram,April,May,TRY (R)2*,Clay
Kanchipuram,April,May,ADT (R) 45,Clay Loam
Kanchipuram,April,May,ADTRH 1,Clay Loam
Kanchipuram,April,May,ADT (R) 47,Clay
Kanchipuram,July,September,IR 20,Clay Loam
Kanchipuram,July,September,White Ponni,Loam
Kanchipuram,July,September,CO 43,Silty Clay
Kanchipuram,July,September,ADT 40,Clay Loam
Kanchipuram,July,September,PY 4,Sandy Clay Loam
Kanchipuram,July,September,ADT 39,Silt
Kanchipuram,July,September,TRY 1,Silt Loam
Kanchipuram,July,September,ASD 19,Silty Clay Loam
Kanchipuram,July,September,ADT(R) 44,Clay Loam
Kanchipuram,July,September,CORH 2,Clay Loam
Kanchipuram,September,October,IR 20,Clay Loam
Kanchipuram,September,October,White Ponni,Loam
Kanchipuram,September,October,ADT 39,Silt
Kanchipuram,September,October,CO 43,Silty Clay
Kanchipuram,September,October,TRY 1,Silt Loam
Kanchipuram,September,October,ADT (R)46,"('Clay Loam', 4)"
Kanchipuram,September,October,CORH 2,Clay Loam
Kanchipuram,December,January,ADT 36,Sandy Clay Loam
Kanchipuram,December,January,ADT 37,Clay Loam
Kanchipuram,December,January,ASD 16,Silty Clay Loam
Kanchipuram,December,January,IR 64,Sandy Loam
Kanchipuram,December,January,ASD 18,Silty Clay Loam
Kanchipuram,December,January,ADT 42,Sandy Clay Loam
Kanchipuram,December,January,ADT 43,Clay Loam
Kanchipuram,December,January,MDU 5,Loamy Sand
Kanchipuram,December,January,ASD 20,Silty Clay Loam
Kanchipuram,July,August,PMK 2,Sandy Clay Loam
Kanchipuram,July,August,MDU 5,Loamy Sand
Kanchipuram,July,August,TKM 11,Clay Loam
Kanchipuram,July,August,PMK (R) 3,Sandy Clay Loam
Kanchipuram,July,August,TKM (R) 12,Clay Loam
Kanchipuram,July,August,IR 20,Clay Loam
Kanchipuram,July,August,TKM 10,Sandy Clay
Kanchipuram,July,August,PMK 2,Sandy Clay Loam
Kanchipuram,July,August,MDU 5,Loamy Sand
Kanchipuram,July,August,TKM 11,Clay Loam
Kanchipuram,July,August,TKM (R) 12,Clay Loam
Kanchipuram,July,August,PMK (R) 3,Sandy Clay Loam
Tiruvallur,April,May,ADT 36,Sandy Clay Loam
Tiruvallur,April,May,IR 36,Clay
Tiruvallur,April,May,IR 50,Clay
Tiruvallur,April,May,ADT 37,Clay Loam
Tiruvallur,April,May,ASD 16,Silty Clay Loam
Tiruvallur,April,May,ASD 17,Clay Loam
Tiruvallur,April,May,IR 64,Sandy Loam
Tiruvallur,April,May,ASD 18,Silty Clay Loam
Tiruvallur,April,May,ADT 42,Sandy Clay Loam
Tiruvallur,April,May,MDU 5,Loamy Sand
Tiruvallur,April,May,ASD 20,Silty Clay Loam
Tiruvallur,April,May,ADT 43,Clay Loam
Tiruvallur,April,May,CO 47,Clay Loam
Tiruvallur,April,May,TRY (R)2*,Clay
Tiruvallur,April,May,ADT (R) 45,Clay Loam
Tiruvallur,April,May,ADTRH 1,Clay Loam
